,alpha,acc,f1
67,0.68,0.328543689,[0.38195173 0.28571429 0.04312668 0.11460259 0.38471503 0.42159383]
68,0.69,0.322718447,[0.38830898 0.26876091 0.0273224  0.06189555 0.38623327 0.41816624]
69,0.7,0.323106796,[0.39166667 0.2688172  0.03835616 0.10055866 0.37675607 0.41237113]
70,0.71,0.332815534,[0.39544513 0.29773463 0.01666667 0.0929368  0.39468439 0.42820292]
71,0.72,0.329708738,[0.38427948 0.28353659 0.03269755 0.09942639 0.39037433 0.4295302 ]
72,0.73,0.333980583,[0.38611714 0.32495812 0.02702703 0.12363636 0.38661202 0.42181235]
73,0.74,0.321165049,[0.38786566 0.28421053 0.03287671 0.09090909 0.37253655 0.40973971]
74,0.75,0.327378641,[0.39330544 0.28205128 0.04864865 0.04761905 0.38278146 0.42405063]
75,0.76,0.32776699,[0.38034188 0.29502573 0.0326087  0.12704174 0.38016529 0.4214223 ]
76,0.77,0.333592233,[0.40207254 0.30387597 0.04347826 0.08030593 0.39232409 0.42190016]
77,0.78,0.329320388,[0.38394794 0.29152542 0.04347826 0.06883365 0.39316239 0.42414356]
78,0.79,0.332815534,[0.40846561 0.28816467 0.04324324 0.1046729  0.38836265 0.41485069]
79,0.8,0.336699029,[0.40171858 0.29452055 0.0166205  0.13138686 0.39665164 0.42114237]
80,0.81,0.345631068,[0.40752351 0.32733224 0.05376344 0.13523132 0.39317406 0.43786982]
81,0.82,0.337475728,[0.4017094  0.32786885 0.04851752 0.1163227  0.38174274 0.42264753]
82,0.83,0.339805825,[0.41056911 0.31442464 0.03269755 0.11460259 0.39191074 0.42750621]
83,0.84,0.334757282,[0.38918919 0.31611894 0.02762431 0.13138686 0.38696538 0.42394015]
84,0.85,0.332427184,[0.40343348 0.29276316 0.04324324 0.11698113 0.37398374 0.42787682]
85,0.86,0.335145631,[0.39701174 0.31960461 0.02762431 0.10546139 0.39050132 0.41938179]
86,0.87,0.328932039,[0.39482201 0.30351438 0.02203857 0.11460259 0.3853211  0.41131105]
87,0.88,0.337475728,[0.40511727 0.29692833 0.03804348 0.10943396 0.39555864 0.42113442]
88,0.89,0.325825243,[0.39915074 0.30847458 0.03835616 0.08614232 0.37634409 0.40617384]
89,0.9,0.34368932,[0.42588727 0.31067961 0.03278689 0.125      0.39832285 0.42563681]
